emoji,description
🦵,Chân
🦶,chân
👂,tai
🦻,⊛ tai với máy trợ thính
👃,cái mũi
🧠,óc
🦷,răng
🦴,xương
👀,đôi mắt
👁,con mắt
👅,lưỡi
👄,mồm
👶,đứa bé
🧒,đứa trẻ
👦,con trai
👧,con gái
🧑,người
👱,người: tóc vàng
👨,Đàn ông
🧔,người đàn ông: râu
👱‍♂️,người đàn ông: tóc vàng
👨‍🦰,người đàn ông: tóc đỏ
👨‍🦱,người đàn ông: tóc xoăn
👨‍🦳,người đàn ông: tóc trắng
👨‍🦲,người đàn ông: hói
👩,đàn bà
👱‍♀️,người phụ nữ: tóc vàng
👩‍🦰,người phụ nữ: tóc đỏ
👩‍🦱,người phụ nữ: tóc xoăn
👩‍🦳,người phụ nữ: tóc trắng
👩‍🦲,người phụ nữ: hói
🧓,Người lớn tuổn hơn
👴,ông già
👵,bà già
🙍,người cau mày
🙍‍♂️,người đàn ông cau mày
🙍‍♀️,người phụ nữ cau mày
🙎,người bĩu môi
🙎‍♂️,người đàn ông bĩu môi
🙎‍♀️,người phụ nữ bĩu môi
🙅,người ra hiệu KHÔNG
🙅‍♂️,người đàn ông ra hiệu KHÔNG
🙅‍♀️,người phụ nữ cử chỉ KHÔNG
🙆,người ra hiệu OK
🙆‍♂️,người đàn ông ra hiệu OK
🙆‍♀️,người phụ nữ ra hiệu OK
💁,người đưa tay
💁‍♂️,người đàn ông đưa tay
💁‍♀️,tay phụ nữ
🙋,người giơ tay
🙋‍♂️,người đàn ông giơ tay
🙋‍♀️,người phụ nữ giơ tay
🧏,Tôi người điếc
🧏‍♂️,Tôi người đàn ông điếc
🧏‍♀️,⊛ người phụ nữ khiếm thính
🙇,người cúi đầu
🙇‍♂️,người đàn ông cúi đầu
🙇‍♀️,người phụ nữ cúi chào
🤦,người đối mặt
🤦‍♂️,người đàn ông quay mặt
🤦‍♀️,người phụ nữ ôm mặt
🤷,người nhún vai
🤷‍♂️,người đàn ông nhún vai
🤷‍♀️,người phụ nữ nhún vai
👨‍⚕️,nhân viên y tế
👩‍⚕️,nhân viên y tế phụ nữ
👨‍🎓,nam sinh
👩‍🎓,nữ sinh
👨‍🏫,giáo viên đàn ông
👩‍🏫,giáo viên nữ
👨‍⚖️,người đàn ông thẩm phán
👩‍⚖️,thẩm phán phụ nữ
👨‍🌾,người đàn ông nông dân
👩‍🌾,phụ nữ nông dân
👨‍🍳,người đàn ông nấu ăn
👩‍🍳,phụ nữ nấu ăn
👨‍🔧,thợ máy
👩‍🔧,thợ máy phụ nữ
👨‍🏭,công nhân nhà máy người đàn ông
👩‍🏭,nữ công nhân nhà máy
👨‍💼,nhân viên văn phòng
👩‍💼,nữ nhân viên văn phòng
👨‍🔬,nhà khoa học con người
👩‍🔬,nhà khoa học nữ
👨‍💻,nhà công nghệ con người
👩‍💻,kỹ thuật viên phụ nữ
👨‍🎤,ca sĩ đàn ông
👩‍🎤,ca sĩ nữ
👨‍🎨,nghệ sĩ đàn ông
👩‍🎨,nữ nghệ sĩ
👨‍✈️,người đàn ông phi công
👩‍✈️,nữ phi công
👨‍🚀,phi hành gia người đàn ông
👩‍🚀,nữ phi hành gia
👨‍🚒,người lính cứu hỏa
👩‍🚒,nữ lính cứu hỏa
👮,Cảnh sát
👮‍♂️,người đàn ông cảnh sát
👮‍♀️,nữ cảnh sát
🕵,thám tử
🕵️‍♂️,thám tử đàn ông
🕵️‍♀️,thám tử nữ
💂,bảo vệ
💂‍♂️,người bảo vệ
💂‍♀️,người phụ nữ bảo vệ
👷,công nhân xây dựng
👷‍♂️,công nhân xây dựng
👷‍♀️,nữ công nhân xây dựng
🤴,Hoàng tử
👸,công chúa
👳,người đội khăn xếp
👳‍♂️,người đàn ông đội khăn xếp
👳‍♀️,người phụ nữ đội khăn xếp
👲,người đàn ông đội mũ lưỡi trai Trung Quốc
🧕,người phụ nữ với khăn trùm đầu
🤵,người đàn ông mặc tuxedo
👰,cô dâu với mạng che mặt
🤰,phụ nữ có thai
🤱,cho con bú
👼,em be Thiên thân
🎅,Ông già Noen
🤶,Bà Claus
🦸,siêu anh hùng
🦸‍♂️,siêu anh hùng
🦸‍♀️,nữ siêu anh hùng
🦹,siêu ác nhân
🦹‍♂️,người đàn ông supervillain
🦹‍♀️,người phụ nữ supervillain
🧙,pháp sư
🧙‍♂️,pháp sư đàn ông
🧙‍♀️,nữ pháp sư
🧚,nàng tiên
🧚‍♂️,người đàn ông tiên
🧚‍♀️,tiên nữ
🧛,ma cà rồng
🧛‍♂️,ma cà rồng đàn ông
🧛‍♀️,ma cà rồng nữ
🧜,người thương
🧜‍♂️,người đức
🧜‍♀️,Mỹ nhân ngư
🧝,gia tinh
🧝‍♂️,người đàn ông yêu tinh
🧝‍♀️,nữ yêu tinh
🧞,thần đèn
🧞‍♂️,thần đèn
🧞‍♀️,thần đèn phụ nữ
🧟,thây ma
🧟‍♂️,người đàn ông thây ma
🧟‍♀️,thây ma phụ nữ
💆,người được mát xa
💆‍♂️,người đàn ông được mát xa
💆‍♀️,người phụ nữ được mát xa
💇,người cắt tóc
💇‍♂️,người đàn ông cắt tóc
💇‍♀️,người phụ nữ cắt tóc
🚶,người đi bộ
🚶‍♂️,người đàn ông đi bộ
🚶‍♀️,người phụ nữ đi bộ
🧍,⊛ người đang đứng
🧍‍♂️,⊛ người đàn ông đang đứng
🧍‍♀️,⊛ người phụ nữ đang đứng
🧎,⊛ người đang quỳ
🧎‍♂️,⊛ người đàn ông đang quỳ
🧎‍♀️,⊛ người phụ nữ đang quỳ
👨‍🦯,⊛ người đàn ông với cây gậy thăm dò
👩‍🦯,⊛ người phụ nữ với cây gậy thăm dò
👨‍🦼,⊛ người đàn ông ngồi trên xe lăn có động cơ
👩‍🦼,⊛ người phụ nữ ngồi trên xe lăn có động cơ
👨‍🦽,⊛ người đàn ông ngồi trên xe lăn bằng tay
👩‍🦽,⊛ người phụ nữ ngồi xe lăn bằng tay
🏃,người đang chạy
🏃‍♂️,người đàn ông đang chạy
🏃‍♀️,người phụ nữ đang chạy
💃,người phụ nữ khiêu vũ
🕺,người đàn ông khiêu vũ
🕴,người đàn ông trong bộ đồ bay lên
👯,những người có đôi tai thỏ
👯‍♂️,đàn ông có tai thỏ
👯‍♀️,phụ nữ có đôi tai thỏ
🧖,người trong phòng ướt át
🧖‍♂️,người đàn ông trong căn phòng ướt át
🧖‍♀️,người phụ nữ trong căn phòng ướt át
🧗,người leo núi
🧗‍♂️,người đàn ông leo núi
🧗‍♀️,người phụ nữ leo núi
🤺,đấu kiếm người
🏇,đua ngựa
⛷,người trợt tuyết
🏂,người trượt tuyết
🏌,người chơi gôn
🏌️‍♂️,người đàn ông chơi gôn
🏌️‍♀️,người phụ nữ chơi gôn
🏄,người lướt sóng
🏄‍♂️,người đàn ông lướt sóng
🏄‍♀️,người phụ nữ lướt sóng
🚣,người chèo thuyền
🚣‍♂️,người đàn ông chèo thuyền
🚣‍♀️,người phụ nữ chèo thuyền
🏊,người đang bơi
🏊‍♂️,người đàn ông bơi lội
🏊‍♀️,người phụ nữ bơi lội
⛹,người nảy bóng
⛹️‍♂️,người đàn ông quả bóng nảy
⛹️‍♀️,người phụ nữ nảy bóng
🏋,người nâng tạ
🏋️‍♂️,người đàn ông nâng tạ
🏋️‍♀️,người phụ nữ nâng tạ
🚴,người đạp xe
🚴‍♂️,người đàn ông đi xe đạp
🚴‍♀️,người phụ nữ đi xe đạp
🚵,người đi xe đạp leo núi
🚵‍♂️,người đàn ông đi xe đạp leo núi
🚵‍♀️,người phụ nữ đi xe đạp leo núi
🤸,người quay phim
🤸‍♂️,người đàn ông quay phim
🤸‍♀️,người phụ nữ quay phim
🤼,mọi người đấu vật
🤼‍♂️,đấu vật nam
🤼‍♀️,đấu vật nữ
🤽,người chơi bóng nước
🤽‍♂️,người đàn ông chơi bóng nước
🤽‍♀️,người phụ nữ chơi bóng nước
🤾,người chơi bóng ném
🤾‍♂️,người đàn ông chơi bóng ném
🤾‍♀️,người phụ nữ chơi bóng ném
🤹,người tung hứng
🤹‍♂️,người đàn ông tung hứng
🤹‍♀️,người phụ nữ tung hứng
🧘,người ở tư thế hoa sen
🧘‍♂️,người đàn ông trong tư thế hoa sen
🧘‍♀️,người phụ nữ trong tư thế hoa sen
🛀,người đang tắm
🛌,người trên giường
🧑‍🤝‍🧑, mọi người nắm tay nhau
👭,phụ nữ nắm tay nhau
👫,phụ nữ và đàn ông nắm tay nhau
👬,đàn ông nắm tay nhau
💏,hôn
👩‍❤️‍💋‍👨,"hôn: đàn bà, đàn ông"
👨‍❤️‍💋‍👨,"hôn: đàn ông, đàn ông"
👩‍❤️‍💋‍👩,"hôn: đàn bà, đàn bà"
💑,cặp đôi có trái tim
👩‍❤️‍👨,"cặp đôi có trái tim: đàn bà, đàn ông"
👨‍❤️‍👨,"cặp đôi có trái tim: đàn ông, đàn ông"
👩‍❤️‍👩,"cặp đôi có trái tim: đàn bà, đàn bà"
👪,gia đình
👨‍👩‍👦,"gia đình: đàn ông, phụ nữ, con trai"
👨‍👩‍👧,"gia đình: đàn ông, đàn bà, con gái"
👨‍👩‍👧‍👦,"gia đình: đàn ông, phụ nữ, cô gái, cậu bé"
👨‍👩‍👦‍👦,"gia đình: đàn ông, đàn bà, con trai, con trai"
👨‍👩‍👧‍👧,"gia đình: đàn ông, phụ nữ, cô gái, cô gái"
👨‍👨‍👦,"family: man, man, boy"
👨‍👨‍👧,"gia đình: đàn ông, đàn ông, cô gái"
👨‍👨‍👧‍👦,"gia đình: đàn ông, đàn ông, cô gái, cậu bé"
👨‍👨‍👦‍👦,"gia đình: người đàn ông, người đàn ông, cậu bé, cậu bé"
👨‍👨‍👧‍👧,"gia đình: đàn ông, đàn ông, cô gái, cô gái"
👩‍👩‍👦,"gia đình: đàn bà, đàn bà, con trai"
👩‍👩‍👧,"gia đình: phụ nữ, phụ nữ, cô gái"
👩‍👩‍👧‍👦,"gia đình: đàn bà, đàn bà, con gái, con trai"
👩‍👩‍👦‍👦,"gia đình: đàn bà, đàn bà, con trai, con trai"
👩‍👩‍👧‍👧,"gia đình: người phụ nữ, người phụ nữ, cô gái, cô gái"
👨‍👦,"gia đình: người đàn ông, cậu bé"
👨‍👦‍👦,"gia đình: người đàn ông, cậu bé, cậu bé"
👨‍👧,"gia đình: đàn ông, cô gái"
👨‍👧‍👦,"gia đình: đàn ông, cô gái, cậu bé"
👨‍👧‍👧,"gia đình: đàn ông, cô gái, cô gái"
👩‍👦,"gia đình: đàn bà, con trai"
👩‍👦‍👦,"gia đình: đàn bà, con trai, con trai"
👩‍👧,"gia đình: phụ nữ, cô gái"
👩‍👧‍👦,"gia đình: đàn bà, con gái, con trai"
👩‍👧‍👧,"gia đình: người phụ nữ, cô gái, cô gái"
🗣,đầu nói
👤,bức tượng bán thân
👥,bán thân trong bóng
👣,dấu chân
🦰,tóc đỏ
🦱,tóc xoăn
🦳,tóc trắng
🦲,hói
🐵,mặt khỉ
🐒,con khỉ
🦍,con khỉ đột
🦧, đười ươi
🐶,mặt chó
🐕,chó
🦮, con chó dẫn đườnd
🐕‍🦺, chó dịch vụ
🐩,chó xù
🐺,chó sói
🦊,cáo
🦝,Gấu mèo. - Gấu mèo
🐱,mặt mèo
🐈,con mèo
🦁,sư tử
🐯,mặt hổ
🐅,con hổ
🐆,báo
🐴,mặt ngựa
🐎,con ngựa
🦄,con kỳ lân
🦓,ngựa rằn
🦌,con nai
🐮,mặt bò
🐂,con bò
🐃,trâu nước
🐄,con bò
🐷,mặt lợn
🐖,con lợn
🐗,heo rừng
🐽,mũi heo
🐏,ram
🐑,cừu cái
🐐,con dê
🐪,lạc đà
🐫,lạc đà hai bướu
🦙,llama
🦒,hươu cao cổ
🐘,con voi
🦏,tê giác
🦛,Hà mã
🐭,mặt chuột
🐁,chuột
🐀,con chuột
🐹,chuột đồng
🐰,mặt thỏ
🐇,Con thỏ
🐿,sóc chuột
🦔,nhím
🦇,con dơi
🐻,chịu
🐨,gấu túi
🐼,gấu trúc
🦥,Con lười
🦦,⊛ rái cá
🦨,⊛ chồn hôi
🦘,con chuột túi
🦡,con lửng
🐾,vết chân chó
🦃,gà tây
🐔,thịt gà
🐓,gà trống
🐣,gà con đang nở
🐤,gà con
🐥,gà con quay mặt trước
🐦,chim
🐧,chim cánh cụt
🕊,chim bồ câu
🦅,chim ưng
🦆,con vịt
🦢,Thiên nga
🦉,con cú
🦩, chim hồng hạc
🦚,con công
🦜,con vẹt
🐸,con ếch
🐊,Cá sấu
🐢,rùa
🦎,con thằn lằn
🐍,con rắn
🐲,mặt rồng
🐉,rồng
🦕,sauropod
🦖,T-Rex
🐳,cá voi phun nước
🐋,cá voi
🐬,cá heo
🐟,cá
🐠,cá nhiệt đới
🐡,cá thổi
🦈,cá mập
🐙,bạch tuộc
🐚,vỏ xoắn ốc
🐌,ốc sên
🦋,bươm bướm
🐛,bọ cánh cứng
🐜,con kiến
🐝,ong mật
🐞,Bọ cánh cứng
🦗,bóng chày
🕷,con nhện
🕸,mạng nhện
🦂,con bò cạp
🦟,con muỗi
🦠,vi trùng
💐,bó hoa
🌸,Hoa anh đào
💮,Hoa màu trắng
🏵,hoa thị
🌹,Hoa hồng
🥀,hoa héo
🌺,dâm bụt
🌻,hoa hướng dương
🌼,hoa
🌷,hoa tulip
🌱,cây con
🌲,cây thường xanh
🌳,cây rụng lá
🌴,cây cọ
🌵,cây xương rồng
🌾,bó gạo
🌿,thảo mộc
☘,cây xa trục thảo
🍀,cỏ bốn lá
🍁,lá phong
🍂,lá rơi
🍃,lá rung rinh trong gió
🍇,nho
🍈,dưa
🍉,dưa hấu
🍊,quýt
🍋,Chanh
🍌,trái chuối
🍍,Trái dứa
🥭,trái xoài
🍎,táo đỏ
🍏,táo Xanh
🍐,Lê
🍑,đào
🍒,anh đào
🍓,dâu
🥝,trái kiwi
🍅,cà chua
🥥,dừa
🥑,trái bơ
🍆,cà tím
🥔,khoai tây
🥕,củ cà rốt
🌽,bắp ngô
🌶,ớt
🥒,quả dưa chuột
🥬,lá xanh
🥦,bông cải xanh
🧄,tỏi
🧅,hành tây
🍄,nấm
🥜,đậu phộng
🌰,hạt dẻ
🍞,bánh mỳ
🥐,bánh sừng bò
🥖,bánh mì baguette
🥨,bánh quy
🥯,bánh mì tròn
🥞,bánh xèo
🧇,bánh quế
🧀,phô mai hình cái nêm
🍖,thịt trên xương
🍗,chân gia cầm
🥩,cắt thịt
🥓,Thịt ba rọi
🍔,bánh hamburger
🍟,khoai tây chiên
🍕,pizza
🌭,bánh mì kẹp xúc xích
🥪,bánh mì sandwich
🌮,taco
🌯,bánh burrito
🥙,bánh mì dẹt nhồi
🧆, falafel
🥚,trứng
🍳,nấu nướng
🥘,chảo cạn thức ăn
🍲,nồi thức ăn
🥣,bát với thìa
🥗,xà lách xanh
🍿,bắp rang bơ
🧈,bơ
🧂,Muối
🥫,đồ ăn đóng hộp
🍱,hộp đựng cơm
🍘,bánh gạo
🍙,cơm nắm
🍚,nấu cơm
🍛,cơm cà ri
🍜,xửng hấp
🍝,mì ống Ý
🍠,khoai lang nướng
🍢,oden
🍣,sushi
🍤,tôm chiên
🍥,chả cá xoáy
🥮,bánh trung thu
🍡,dango
🥟,bánh bao
🥠,bánh quy may mắn
🥡,hộp đồ ăn mang đi
🦀,cua
🦞,tôm hùm
🦐,con tôm
🦑,mực ống
🦪,hàu
🍦,kem tươi
🍧,đá bào
🍨,kem
🍩,bánh vòng
🍪,bánh quy
🎂,bánh sinh nhật
🍰,bánh nướng nhỏ
🧁,bánh cupcake
🥧,bánh pie
🍫,thanh sô cô la
🍬,kẹo
🍭,kẹo mút
🍮,bánh trứng
🍯,hũ mật ong
🍼,bình sữa trẻ em
🥛,cốc sữa
☕,thức uống nóng
🍵,tách trà không có tay cầm
🍶,lợi ích
🍾,chai có nút chai
🍷,ly rượu
🍸,ly cocktail
🍹,đồ uống nhiệt đới
🍺,cốc bia
🍻,cốc bia nhấp nháy
🥂,kính nhấp nháy
🥃,ly thủy tinh
🥤,cốc có ống hút
🧃,⊛ hộp đồ uống
🧉,Tôi bạn đời
🧊,băng
🥢,đũa
🍽,nĩa và dao với đĩa
🍴,nĩa và dao
🥄,cái thìa
🔪,dao làm bếp
🏺,amphora
🌍,quả địa cầu hiển thị Châu Âu-Châu Phi
🌎,quả địa cầu hiển thị châu Mỹ
🌏,quả địa cầu hiển thị Châu Á-Úc
🌐,địa cầu có kinh tuyến
🗺,bản đồ thế giới
🗾,bản đồ của nhật bản
🧭,la bàn
🏔,núi phủ tuyết
⛰,núi
🌋,núi lửa
🗻,Fuji Mount
🏕,cắm trại
🏖,bãi biển với ô
🏜,Sa mạc
🏝,hoang đảo
🏞,công viên quốc gia
🏟,sân vận động
🏛,tòa nhà cổ điển
🏗,xây dựng công trình
🧱,gạch
🏘,những ngôi nhà
🏚,nhà vô chủ
🏠,nhà ở
🏡,nhà có vườn
🏢,Tòa nhà văn phòng
🏣,Bưu điện nhật bản
🏤,Bưu điện
🏥,bệnh viện
🏦,ngân hàng
🏨,khách sạn
🏩,khách sạn tình yêu
🏪,cửa hàng tiện dụng
🏫,trường học
🏬,cửa hàng bách hóa
🏭,nhà máy
🏯,Lâu đài nhật bản
🏰,Lâu đài
💒,lễ cưới
🗼,Tháp Tokyo
🗽,Tượng nữ thần tự do
⛪,nhà thờ
🕌,nhà thờ Hồi giáo
🛕,chùa hindu
🕍,giáo đường Do Thái
⛩,đền thờ Shinto
🕋,kaaba
⛲,Đài phun nước
⛺,Cái lều
🌁,sương mù
🌃,đêm với những vì sao
🏙,cảnh quan thành phố
🌄,mặt trời mọc trên núi
🌅,bình Minh
🌆,cảnh quan thành phố lúc hoàng hôn
🌇,Hoàng hôn
🌉,cầu vào ban đêm
♨,suối nước nóng
🎠,ngựa băng chuyền
🎡,đu quay
🎢,tàu lượn siêu tốc
💈,cột cắt tóc
🎪,lều xiếc
🚂,đầu máy xe lửa
🚃,toa tàu
🚄,tàu cao tốc
🚅,tàu cao tốc
🚆,xe lửa
🚇,tàu điện
🚈,đường sắt nhẹ
🚉,ga tàu
🚊,Xe điện
🚝,monorail
🚞,đường sắt trên núi
🚋,xe điện
🚌,xe buýt
🚍,xe buýt sắp tới
🚎,xe đẩy
🚐,xe buýt nhỏ
🚑,xe cứu thương
🚒,máy bơm nước cứu hỏa
🚓,xe cảnh sát
🚔,xe cảnh sát đang tới
🚕,xe tắc xi
🚖,taxi đang đến
🚗,ô tô
🚘,ô tô đang tới
🚙,xe thể thao tiện ích
🚚,xe tải giao hàng
🚛,xe tải có khớp nối
🚜,máy kéo
🏎,xe đua
🏍,xe máy
🛵,xe gắn máy tay ga
🦽,xe lăn bằng tay
🦼,xe lăn có động cơ
🛺,xe kéo tự động
🚲,Xe đạp
🛴,đá xe tay ga
🛹,ván trượt
🚏,điểm dừng xe buýt
🛣,đường cao tốc
🛤,đường sắt
🛢,trống dầu
⛽,bơm nhiên liệu
🚨,đèn xe cảnh sát
🚥,đèn giao thông ngang
🚦,đèn giao thông dọc
🛑,biển báo dừng
🚧,xây dựng
⚓,mỏ neo
⛵,thuyền buồm
🛶,xuồng
🚤,tàu cao tốc
🛳,tàu chở khách
⛴,chiếc phà
🛥,thuyền máy
🚢,tàu
✈,Máy bay
🛩,máy bay nhỏ
🛫,máy bay khởi hành
🛬,máy bay đến
🪂,dù
💺,ghế
🚁,máy bay trực thăng
🚟,đường sắt treo
🚠,cáp treo núi
🚡,Đường xe điện trên không
🛰,vệ tinh
🚀,tên lửa
🛸,đĩa bay
🛎,chuông cửa hàng
🧳,Hành lý
⌛,đồng hồ cát thực hiện
⏳,đồng hồ cát không xong
⌚,đồng hồ đeo tay
⏰,đồng hồ báo thức
⏱,đồng hồ bấm giờ
⏲,đồng hồ hẹn giờ
🕰,đồng hồ lò sưởi
🕛,mười hai giờ
🕧,mười hai giờ rưỡi
🕐,một giờ
🕜,một giờ ba mươi
🕑,hai giờ
🕝,hai giờ ba mươi
🕒,ba giờ
🕞,ba ba mươi
🕓,bốn giờ
🕟,bốn ba mươi
🕔,năm giờ
🕠,năm giờ ba mươi
🕕,sáu giờ đúng
🕡,sáu giờ ba mươi
🕖,bảy giờ
🕢,bảy giờ ba mươi
🕗,tám giờ
🕣,tám giờ ba mươi
🕘,chín giờ
🕤,chín giờ rưỡi
🕙,mười giờ
🕥,mười giờ ba mươi
🕚,mười một giờ
🕦,mười một giờ ba mươi
🌑,trăng non
🌒,Trăng lưỡi liềm
🌓,trăng quý đầu tiên
🌔,Waxing mặt trăng
🌕,trăng tròn
🌖,trăng khuyết
🌗,trăng quý trước
🌘,trăng lưỡi liềm tàn lụi
🌙,trăng lưỡi liềm
🌚,mặt trăng non
🌛,mặt trăng quý đầu tiên
🌜,mặt trăng quý trước
🌡,nhiệt kế
☀,mặt trời
🌝,mặt trăng tròn
🌞,mặt trời với khuôn mặt
🪐,hành tinh có chuông
⭐,ngôi sao
🌟,ngôi sao phát sáng
🌠,sao băng
🌌,dải Ngân Hà
☁,đám mây
⛅,mặt trời đằng sau đám mây
⛈,mây có sấm chớp và mưa
🌤,mặt trời đằng sau đám mây nhỏ
🌥,mặt trời đằng sau đám mây lớn
🌦,mặt trời đằng sau đám mây mưa
🌧,mây có mưa
🌨,mây có tuyết
🌩,đám mây có sấm sét
🌪,lốc xoáy
🌫,sương mù
🌬,mặt gió
🌀,lốc xoáy
🌈,cầu vồng
🌂,ô đóng
☂,ô
☔,ô với giọt mưa
⛱,ô trên mặt đất
⚡,điện cao thế
❄,bông tuyết
☃,người tuyết
⛄,người tuyết không có tuyết
☄,sao chổi
🔥,ngọn lửa
💧,giọt
🌊,sóng nước
🎃,đèn bí ngô
🎄,Cây thông noel
🎆,bắn pháo hoa
🎇,pháo hoa que
🧨,pháo nổ
✨,lấp lánh
🎈,quả bóng bay
🎉,bữa tiệc popper
🎊,quả bóng hoa giấy
🎋,cây tanabata
🎍,trang trí cây thông
🎎,Búp bê nhật bản
🎏,streamer cá chép
🎐,chuông gió
🎑,lễ ngắm trăng
🧧,phong bì đỏ
🎀,ruy-băng
🎁,gói quà
🎗,dải băng nhắc nhở
🎟,vé vào cửa
🎫,vé máy bay
🎖,huy chương quân sự
🏆,chiếc cúp
🏅,huy chương thể thao
